Player,Team,Salary
"Anderson, Jason",New York Yankees,300000
"Callaway, Mickey",Anaheim Angels,302500
"Ramirez, Julio",Anaheim Angels,300000
"Shields, Scot",Anaheim Angels,305000
"Wise, Matt",Anaheim Angels,302500
"Gonzalez, Dicky",Boston Red Sox,300000
"Lyon, Brandon",Boston Red Sox,309500
"Person, Robert",Boston Red Sox,300000
"White, Matt",Boston Red Sox,300000
"Bard, Josh",Cleveland Indians,302100
"Broussard, Benjamin",Cleveland Indians,303000
"Davis, Jason",Cleveland Indians,301100
"Hafner, Travis",Cleveland Indians,302200
"Lee, Cliff",Cleveland Indians,300900
"Myette, Aaron",Cleveland Indians,307500
"Phillips, Brandon",Cleveland Indians,300900
"Rodriguez, Ricardo",Cleveland Indians,302400
"Sadler, Carl",Cleveland Indians,303200
"Traber, Billy",Cleveland Indians,300000
"Westbrook, Jake",Cleveland Indians,305500
"Hendrickson, Mark",Toronto Blue Jays ,302000
"Lopez, Aquilino",Toronto Blue Jays ,300000
"Miller, Trever",Toronto Blue Jays ,305000
"Werth, Jayson",Toronto Blue Jays ,300000
"Bedard, Erik",Baltimore Orioles,300000
"Leon, Jose",Baltimore Orioles,305000
"Morban, Jose",Baltimore Orioles,300000
"Abernathy, Brent",Tampa Bay Devil Rays,300000
"Baldelli, Rocco",Tampa Bay Devil Rays,300000
"Bierbrodt, Nick",Tampa Bay Devil Rays,300000
"Carter, Lance",Tampa Bay Devil Rays,300000
"Colome, Jesus",Tampa Bay Devil Rays,300000
"Crawford, Carl",Tampa Bay Devil Rays,300000
"Hall, Toby",Tampa Bay Devil Rays,300000
"Kennedy, Joe",Tampa Bay Devil Rays,300000
"Martin, Al",Tampa Bay Devil Rays,300000
"McClung, Seth",Tampa Bay Devil Rays,300000
"Rolls, Damian",Tampa Bay Devil Rays,300000
"Seay, Bobby",Tampa Bay Devil Rays,300000
"Shumpert, Terry",Tampa Bay Devil Rays,300000
"Sosa, Jorge",Tampa Bay Devil Rays,300000
"Valentin, Javier",Tampa Bay Devil Rays,300000
"Venafro, Mike",Tampa Bay Devil Rays,300000
"Zambrano, Victor",Tampa Bay Devil Rays,300000
"Berger, Grandon",Kansas City Royals,304000
"Berroa, Angel",Kansas City Royals,302000
"Brown, Dermal",Kansas City Royals,309500
"Bukvich, Ryan",Kansas City Royals,304500
"Carrasco, DJ",Kansas City Royals,300000
"George, Chris",Kansas City Royals,303500
"Harvey, Ken",Kansas City Royals,300000
"Hernandez, Runelvys",Kansas City Royals,305500
"Johnson, Rontrez",Kansas City Royals,300000
"Lopez, Mendy",Kansas City Royals,300000
"MacDougal, Mike",Kansas City Royals,301000
"Cuddyer, Michael",Minnesota Twins,302500
"Olivo, Miguel",Chicago White Sox,300000
"Stewart, Josh",Chicago White Sox,300000
"Bonderman, Jeremy",Detroit Tigers,300000
"Cornejo, Nate",Detroit Tigers,303000
"German, Franklyn",Detroit Tigers,300000
"Infante, Omar",Detroit Tigers,300000
"Knotts, Gary",Detroit Tigers,305000
"Ledezma, Wilfredo",Detroit Tigers,300000
"Maroth, Mike",Detroit Tigers,309000
"Roney, Matt",Detroit Tigers,300000
"Santiago, Ramon",Detroit Tigers,307000
"Spurling, Chris",Detroit Tigers,305000
"Bloomquist, Willie",Seattle Mariners,300000
"Mateo, Julio",Seattle Mariners,302500
"Snelling, Chris",Seattle Mariners,300000
"Bowie, Micah",Oakland Athletics,304000
"Byrnes, Eric",Oakland Athletics,300000
"Ellis, Mark",Oakland Athletics,307500
"Neu, Mike",Oakland Athletics,300000
"Blalock, Hank",Texas Rangers,302500
"Clark, Jermaine",Texas Rangers,300000
"Garcia, Reynaldo",Texas Rangers,300000
"Lewis, Colby",Texas Rangers,302500
