2007	Abilene Christian University	Southland Conference	Football	TX	51	48
2007	University of Akron	Mid-American Conference	Football	OH	60	55	
2007	Alabama A&M University	Southwestern Athletic Conf.	Football	AL	39	50		
2007	Alabama State University	Southwestern Athletic Conf.	Football	AL	64	47		
2007	University of Alabama	Southeastern Conference	Football	AL	80	60		
2007	University of Alabama at Birmingham	Conference USA	Football	AL	61	49		
2007	University at Albany	Colonial Athletic Association	Football	NY	71	59		
2007	Alcorn State University	Southwestern Athletic Conf.	Football	MS	51	38		
2007	Appalachian State University	Southern Conference	Football	NC	79	69		
2007	Arizona State University	Pac-12 Conference	Football	AZ	69	56		
2007	University of Arizona	Pac-12 Conference	Football	AZ	65	59		
2007	Arkansas State University	Sun Belt Conference	Football	AR	63	55		
2007	University of Arkansas, Fayetteville	Southeastern Conference	Football	AR	59	44		
2007	Auburn University	Southeastern Conference	Football	AL	68	58		
2007	Austin Peay State University	Ohio Valley Conference	Football	TN	66	55		
2007	Ball State University	Mid-American Conference	Football	IN	70	59		
2007	Charleston Southern University	Big South Conference	Football	SC	59	49		
2007	Baylor University	Big 12 Conference	Football	TX	72	54		
2007	Bethune-Cookman University	Mid-Eastern Athletic Conf.	Football	FL	49	44		
2007	Boise State University	Mountain West Conference	Football	ID	85	70		
2007	Boston College	Atlantic Coast Conference	Football	MA	92	79		
2007	Bowling Green State University	Mid-American Conference	Football	OH	71	53		
2007	Brigham Young University	Independent	Football	UT	47	42		
2007	Brown University	The Ivy League	Football	RI	98			
2007	Bryant University	Northeast Conference	Football	RI	84	67		
2007	Bucknell University	Patriot League	Football	PA	92	88		
2007	University at Buffalo, the State University of New York	Mid-American Conference	Football	NY	59	65		
2007	Butler University	Pioneer Football League	Football	IN	80			
2007	California Polytechnic State University	Big Sky Conference	Football	CA	78	78		
2007	California State University, Fresno	Mountain West Conference	Football	CA	66	67		
2007	California State University, Sacramento	Big Sky Conference	Football	CA	67	53		
2007	University of California, Berkeley	Pac-12 Conference	Football	CA	51	42		
2007	University of California, Davis	Big Sky Conference	Football	CA	82	69		
2007	University of California, Los Angeles	Pac-12 Conference	Football	CA	88	71		
2007	Campbell University	Pioneer Football League	Football	NC	100			
2007	Central Connecticut State University	Northeast Conference	Football	CT	61	52		
2007	University of Central Florida	American Athletic Conference	Football	FL	90	64		
2007	Central Michigan University	Mid-American Conference	Football	MI	54	38		
2007	University of Cincinnati	American Athletic Conference	Football	OH	68	59		
2007	The Citadel	Southern Conference	Football	SC	87	69		
2007	Clemson University	Atlantic Coast Conference	Football	SC	81	67		
2007	Coastal Carolina University	Big South Conference	Football	SC	68	61		
2007	Colgate University	Patriot League	Football	NY	92	80		
2007	Colorado State University	Mountain West Conference	Football	CO	78	65		
2007	University of Colorado, Boulder	Pac-12 Conference	Football	CO	71	59		
2007	Columbia University-Barnard College	The Ivy League	Football	NY	97			
2007	University of Connecticut	American Athletic Conference	Football	CT	71	58		
2007	Cornell University	The Ivy League	Football	NY	92			
2007	Dartmouth College	The Ivy League	Football	NH	97			
2007	Davidson College	Pioneer Football League	Football	NC	99			
2007	University of Dayton	Pioneer Football League	Football	OH	94			
2007	Delaware State University	Mid-Eastern Athletic Conf.	Football	DE	57	51		
2007	University of Delaware	Colonial Athletic Association	Football	DE	71	71		
2007	Drake University	Pioneer Football League	Football	IA	80			
2007	Duke University	Atlantic Coast Conference	Football	NC	92	81		
2007	Duquesne University	Northeast Conference	Football	PA	83	100		
2007	East Carolina University	Conference USA	Football	NC	70	64		
2007	Eastern Illinois University	Ohio Valley Conference	Football	IL	84	63		
2007	Eastern Kentucky University	Ohio Valley Conference	Football	KY	65	60		
2007	Eastern Michigan University	Mid-American Conference	Football	MI	59	47		
2007	Eastern Washington University	Big Sky Conference	Football	WA	54	42		
2007	Florida A&M University	Mid-Eastern Athletic Conf.	Football	FL	51	49		
2007	Florida Atlantic University	Conference USA	Football	FL	61	58		
2007	Florida International University	Conference USA	Football	FL	51	42		
2007	Florida State University	Atlantic Coast Conference	Football	FL	65	53		
2007	University of Florida	Southeastern Conference	Football	FL	81	55		
2007	Fordham University	Patriot League	Football	NY	81	73		
2007	Furman University	Southern Conference	Football	SC	86	80		
2007	Georgetown University	Patriot League	Football	DC	87	81		
2007	Georgia Southern University	Southern Conference	Football	GA	51	47		
2007	Georgia Institute of Technology	Atlantic Coast Conference	Football	GA	66	60		
2007	University of Georgia	Southeastern Conference	Football	GA	75	65		
2007	Grambling State University	Southwestern Athletic Conf.	Football	LA	45	41		
2007	Hampton University	Mid-Eastern Athletic Conf.	Football	VA	51	63		
2007	Harvard University	The Ivy League	Football	MA	97			
2007	University of Hawaii, Manoa	Mountain West Conference	Football	HI	66	58		
2007	College of the Holy Cross	Patriot League	Football	MA	97	81		
2007	University of Houston	American Athletic Conference	Football	TX	57	51		
2007	Howard University	Mid-Eastern Athletic Conf.	Football	DC	56	61		
2007	Idaho State University	Big Sky Conference	Football	ID	47	24		
